name,price
Kimberly Chang,187.0072583
Mary Ball,283.1746476
Benjamin Craig,143.8715817
Cathy Werner,61.50899135
Brandon Bell,48.6373091
Paul Farley,12.38946479
Sarah Mcdaniel,151.5954472
Caroline Anderson,75.62152103
Carl Jones,147.0294047
Scott Lee,244.1856527
Kaylee Coleman,17.86427032
Charles Parker,215.537283
Susan Hess,38.35997063
Kiara Collier,204.1825486
Mr. Scott Martinez,165.8514289
Christopher Ortega,30.30144506
Michael Russell,243.1724911
Dwayne Johnson,287.4932856
Patty Smith,180.2344257
Deanna Sherman,99.79911842
Douglas Francis,161.7688908
Vicki Diaz,18.64987672
Robin Phillips,244.9119836
Travis Rice,141.4988254
Ashley Rocha,50.00303731
Sarah Jacobson,80.48182457
Kayla Shannon,98.91531394
Sean Wang DDS,220.6282177
Richard Estrada,49.16869151
Joseph Torres,150.1237842
Kim Jones,18.8434377
Melissa Tanner,269.1840299
Jackson Cline,64.31251721
Sonya Foster,296.2155012
Allen Williams,15.3908317
Mr. Thomas Rivera,95.22843716
Jamie Silva,296.8244075
Kathleen Moore,92.50052419
Evelyn Pineda,169.2289293
Kyle Peters,106.7990952
Anthony Cruz,49.10199817
Eric Flores,122.9556986
Anna Richardson,254.4952606
Gary Harper,47.59652592
Linda Johnson,115.3627815
Melissa Smith,87.97994846
Kristen Floyd,135.0230413
William Diaz,192.1491355
Benjamin Smith,134.9052939
David Glenn,216.2910463
Dawn Jones,271.6144999
Joel Smith,14.4949198
Mr. Larry Grimes MD,268.6758682
Joseph Arnold,121.7750468
Kyle Long,241.6216391
Brittany Day,261.5460574
Bobby Ward,63.5130358
Thomas Lee,254.0755771
Jennifer Hansen,101.4887352
Lisa Murray,176.0919174
Meghan Wade,273.2303409
Tammie Brooks,84.88856949
Maria Bell,264.0746652
Allison Livingston,130.3484426
Chris Hays,17.34276379
Courtney Mitchell,78.93257699
Shawn White,188.0219256
Taylor Gomez,225.0198237
Jeremy Rodriguez,200.7248208
April Garcia,66.24555967
Zachary Watts,15.49738786
Sarah Montoya,206.8212547
Jennifer Barker,89.18615989
Sharon Garza,72.35772704
Tiffany Stevens,196.379322
Ruben Armstrong,93.69836738
Dr. Jeffrey Spencer,271.162282
Nicole Ramsey,247.8596071
Anne Roy,277.9324821
Lori Sanchez,285.6616405
Allison Chavez,126.850211
Marcus Adams,36.47040894
Mary Smith,16.31507197
Joseph Reed,178.4576742
Jason Armstrong,26.04525746
Jeff Armstrong,88.47561284
Sean Shields,247.8395255
Jessica Allison,104.742308
Christian Grant,99.11707917
Edward Watson,180.3535589
Derrick Cooke,142.090116
Arthur Hall MD,235.9669749
Sean Patrick,139.4507994
Heather Collins,127.3925734
Megan Gomez,107.8624451
William Hale,114.6709254
Olivia Thompson,8.608441014
Lori Torres,18.85827433
Vickie Hernandez,214.9321807
Kimberly Brown,40.3199327
Sherry Meza,182.8545499
Phillip Hansen,44.11611704
Jeanette Knight,28.68694329
Kayla Hanson,27.63036397
James Johnston,284.4290554
Dr. John Porter,53.72799274
Elizabeth Reyes,93.68075684
Kristen Henry,77.00624357
Claudia Anderson,160.3401593
Nicholas Webb,18.71038619
Allison Cooper,206.0421068
Zachary Barnes,280.7741315
Gregory Hill III,265.9765808
Terry Ayers,16.51163899
Jessica Wilson,290.4095461
Daniel Frazier,190.3291917
Brian Welch,218.2505083
Carol Chavez,123.1834427
Ethan Mcdonald,214.3503174
Gerald Martinez,57.54786356
Eric King,59.87926423
Sylvia Walters,110.9463132
Jonathan Lane,64.46710142
Matthew Turner,180.2628702
Jeffrey Bauer,30.51584181
Jessica Shaffer,54.90193651
Chris Spencer,251.3752831
Mary Clarke,236.0529879
Timothy Mendoza,105.9834816
Alicia Hoffman,182.343699
Joseph Gardner,144.8091344
Rachael Rangel,297.9496406
Jeffrey Harrington,194.2716338
Sophia Randolph,158.543126
Debbie Freeman,275.8719167
Matthew Braun,201.7749657
Sheri Hudson,268.3748402
Mary King,204.0785754
Beth Davis,155.0680648
Margaret Castillo,193.9063244
Tommy Sandoval,172.283041
Christopher Hines,46.55435299
Richard Wright,208.3596969
Michael Brown,278.5230886
Nathan Yu,134.1895098
Cameron Ford,248.8921382
Carla Hayes,265.3745759
Marissa Matthews,136.0925777
Dr. Samuel Thompson,237.1592416
Gary Figueroa,168.9447684
Michael West,146.8886849
Martin Walton,140.3400576
Zachary Lee,8.667301583
Christopher Stephenson,67.01185633
Eric Ortiz,117.7242458
Kara Pittman,56.23964364
Andrew Cowan,295.9391812
Rhonda Moss DDS,259.0397505
Sarah Williams,92.82627714
Carolyn Collins,236.2472888
Larry Mooney,135.2701794
Laura Livingston,294.2580699
Candace Mckenzie,84.58145758
Candace Wallace,124.7464543
Jason White,218.4318041
Patricia Reynolds,89.01176826
Michael Ellison,244.4717106
Melissa Robles,238.4560967
Heidi Fry,109.6264717
James Smith,163.9573856
